hid,pid,sample_geo,ptotals,prtotals,pworker,rpworker,rpage,rpsex
104,1,901,1,1,1,1,6,1
104,2,901,1,1,2,2,6,2
106,1,100,1,1,1,1,10,2
106,2,100,1,1,1,1,11,1
106,3,100,1,1,2,2,2,2
170,1,100,1,1,2,2,4,1
189,1,102,1,1,1,1,11,1
189,2,102,1,1,1,1,10,2
189,3,102,1,1,1,1,4,1
189,4,102,1,1,2,2,4,2
189,5,102,1,1,2,2,3,2
368,1,103,1,1,1,1,15,2
395,1,906,1,1,1,1,9,1
395,2,906,1,1,2,2,10,2
395,3,906,1,1,2,2,3,1
395,4,906,1,1,2,2,3,2
421,1,906,1,1,2,2,18,2
439,1,903,1,1,2,2,14,1
439,2,903,1,1,2,2,14,2
505,1,103,1,1,1,1,8,1
505,2,103,1,1,2,2,7,2
505,3,103,1,1,2,2,1,2
505,4,103,1,1,2,2,1,1
534,1,103,1,1,2,2,18,1
534,2,103,1,1,1,1,13,1
534,3,103,1,1,2,2,6,2
534,4,103,1,1,2,2,1,2
561,1,900,1,1,2,2,14,2
561,2,900,1,1,2,2,13,1
602,1,102,1,1,1,1,10,2
602,2,102,1,1,1,1,11,1
602,3,102,1,1,1,1,4,2
603,1,900,1,1,2,2,17,2
644,1,104,1,1,2,2,16,2
644,2,104,1,1,2,2,17,1
648,1,904,1,1,1,1,13,2
683,1,903,1,1,2,2,16,2
800,1,900,1,1,2,2,12,2
800,2,900,1,1,1,1,5,1
884,1,101,1,1,1,1,13,1
884,2,101,1,1,1,1,12,2
887,1,100,1,1,1,1,8,2
887,2,100,1,1,2,2,2,1
887,3,100,1,1,1,1,12,1
934,1,900,1,1,2,2,8,1
941,1,900,1,1,1,1,16,2
1032,1,903,1,1,2,2,7,1
1033,1,906,1,1,2,2,18,2
1037,1,905,1,1,2,2,7,2
1041,1,902,1,1,1,1,8,1
1041,2,902,1,1,2,2,5,2
1041,3,902,1,1,2,2,2,1
1114,1,901,1,1,2,2,12,2
1218,1,903,1,1,2,2,6,2
1218,2,903,1,1,1,1,6,1
1218,3,903,1,1,2,2,2,1
1218,4,903,1,1,2,2,1,1
1222,1,102,1,1,2,2,18,2
1378,1,902,1,1,1,1,8,1
1378,2,902,1,1,1,1,7,2
1378,3,902,1,1,2,2,1,2
1394,1,105,1,1,1,1,10,1
1394,2,105,1,1,1,1,10,2
1394,3,105,1,1,2,2,3,1
1394,4,105,1,1,2,2,2,2
1408,1,900,1,1,2,2,8,2
1408,2,900,1,1,2,2,1,2
1408,3,900,1,1,1,1,8,1
1415,1,102,1,1,2,2,15,1
1415,2,102,1,1,2,2,14,2
1462,1,102,1,1,1,1,12,1
1462,2,102,1,1,1,1,9,2
1491,1,101,1,1,1,1,10,1
1491,2,101,1,1,2,2,10,2
1491,3,101,1,1,2,2,3,1
1491,4,101,1,1,2,2,2,2
1575,1,904,1,1,1,1,14,1
1575,2,904,1,1,1,1,8,2
1594,1,104,1,1,2,2,16,2
1594,2,104,1,1,2,2,18,1
1594,3,104,1,1,2,2,17,2
1627,1,900,1,1,2,2,14,1
1725,1,902,1,1,2,2,7,1
1725,2,902,1,1,2,2,8,2
1725,3,902,1,1,2,2,2,2
1725,4,902,1,1,2,2,4,1
1783,1,902,1,1,2,2,16,2
1786,1,105,1,1,2,2,11,2
1786,2,105,1,1,2,2,3,1
1786,3,105,1,1,1,1,10,1
1851,1,102,1,1,2,2,12,1
1851,2,102,1,1,2,2,11,2
1851,3,102,1,1,1,1,12,2
1892,1,104,1,1,1,1,13,2
1892,2,104,1,1,1,1,6,1
1892,3,104,1,1,1,1,6,2
2027,1,904,1,1,2,2,9,1
2049,1,905,1,1,1,1,5,2
2067,1,100,1,1,2,2,18,2
2086,1,100,1,1,1,1,13,1
2086,2,100,1,1,1,1,13,2
2241,1,100,1,1,1,1,11,1
2241,2,100,1,1,2,2,11,2
2241,3,100,1,1,1,1,6,1
2346,1,105,1,1,1,1,8,1
2346,2,105,1,1,1,1,9,2
2346,3,105,1,1,2,2,3,2
2346,4,105,1,1,2,2,3,2
2346,5,105,1,1,2,2,2,2
2379,1,101,1,1,1,1,10,1
2379,2,101,1,1,1,1,9,2
2379,3,101,1,1,2,2,3,2
2379,4,101,1,1,2,2,2,2
2379,5,101,1,1,2,2,2,1
2409,1,901,1,1,1,1,11,2
2411,1,103,1,1,1,1,7,2
2411,2,103,1,1,1,1,8,1
2411,3,103,1,1,2,2,1,2
2452,1,100,1,1,1,1,8,2
2452,2,100,1,1,1,1,8,1
2452,3,100,1,1,2,2,1,1
2452,4,100,1,1,2,2,1,1
2553,1,100,1,1,1,1,13,2
2553,1,905,1,1,1,1,6,2
2654,1,905,1,1,2,2,16,2
2685,1,105,1,1,1,1,10,1
2685,2,105,1,1,2,2,9,2
2685,3,105,1,1,2,2,2,2
2685,4,105,1,1,2,2,1,1
2717,1,100,1,1,2,2,16,2
2730,1,902,1,1,1,1,9,1
2833,1,906,1,1,1,1,6,2
2833,2,906,1,1,1,1,7,1
2843,1,902,1,1,2,2,13,1
2889,1,901,1,1,2,2,5,2
2972,1,901,1,1,2,2,10,2
2972,2,901,1,1,2,2,10,1
2972,3,901,1,1,2,2,3,1
2976,1,903,1,1,1,1,13,2
2976,2,903,1,1,1,1,15,1
3198,1,104,1,1,1,1,13,2
3219,1,905,1,1,1,1,7,2
3219,2,905,1,1,1,1,7,2
3245,1,904,1,1,1,1,15,2
3354,1,905,1,1,1,1,12,2
3354,2,905,1,1,1,1,12,1
3380,1,904,1,1,1,1,9,2
3380,2,904,1,1,1,1,9,1
3380,3,904,1,1,2,2,5,2
3380,4,904,1,1,2,2,3,2
3403,1,905,1,1,2,2,5,2
3433,1,901,1,1,2,2,16,1
3639,1,900,1,1,1,1,12,1
3639,2,900,1,1,2,2,10,2
3639,3,900,1,1,2,2,4,2
3723,1,100,1,1,1,1,9,1
3723,2,100,1,1,1,1,9,2
3723,3,100,1,1,2,2,3,2
3723,4,100,1,1,2,2,2,1
3744,1,900,1,1,1,1,14,1
3744,2,900,1,1,1,1,13,2
3920,1,900,1,1,2,2,16,2
3943,1,104,1,1,2,2,11,2
3967,1,104,1,1,1,1,7,2
3967,2,104,1,1,1,1,8,1
3967,3,104,1,1,2,2,3,2
3967,4,104,1,1,2,2,3,2
3967,5,104,1,1,2,2,2,1
3967,6,104,1,1,2,2,2,1
3972,1,906,1,1,2,2,15,2
3991,1,100,1,1,1,1,10,1
3991,2,100,1,1,1,1,10,2
3991,3,100,1,1,2,2,4,1
3991,4,100,1,1,2,2,3,2
3991,5,100,1,1,2,2,2,2
4132,1,105,1,1,1,1,12,1
4132,2,105,1,1,2,2,8,2
4132,3,105,1,1,2,2,1,1
4138,1,105,1,1,2,2,13,2
4138,2,105,1,1,1,1,9,2
4138,3,105,1,1,2,2,18,2
4288,1,901,1,1,1,1,9,2
4288,2,901,1,1,1,1,9,1
4288,3,901,1,1,2,2,4,2
4288,4,901,1,1,2,2,3,2
4379,1,102,1,1,2,2,11,2
4379,2,102,1,1,2,2,4,1
4379,3,102,1,1,1,1,4,2
4384,1,905,1,1,2,2,10,2
4434,1,902,1,1,2,2,14,2
4440,1,104,1,1,1,1,9,2
4440,2,104,1,1,2,2,10,1
4440,3,104,1,1,2,2,5,2
4440,4,104,1,1,2,2,3,2
4582,1,906,1,1,1,1,16,1
4582,2,906,1,1,2,2,16,2
4714,1,904,1,1,1,1,8,2
4714,2,904,1,1,1,1,8,1
4714,3,904,1,1,2,2,1,1
4755,1,102,1,1,1,1,6,1
4755,2,102,1,1,1,1,6,1
4755,3,102,1,1,1,1,6,1
4779,1,100,1,1,1,1,8,1
4779,2,100,1,1,2,2,8,2
4779,3,100,1,1,2,2,2,1
4779,4,100,1,1,2,2,2,2
4879,1,104,1,1,1,1,6,1
4879,2,104,1,1,2,2,1,1
4879,3,104,1,1,2,2,4,2
4879,4,104,1,1,2,2,3,2
4879,5,104,1,1,2,2,7,2
4908,1,900,1,1,2,2,14,2
4908,2,900,1,1,1,1,15,1
4939,1,903,1,1,2,2,4,1
5105,1,104,1,1,1,1,13,2
5129,1,900,1,1,1,1,11,2
5129,2,900,1,1,2,2,7,2
5237,1,103,1,1,2,2,7,2
5237,2,103,1,1,2,2,3,1
5237,3,103,1,1,2,2,3,2
5237,4,103,1,1,2,2,1,1
5237,5,103,1,1,1,1,7,1
5245,1,906,1,1,1,1,5,2
5245,2,906,1,1,1,1,5,2
5392,1,103,1,1,1,1,10,2
5470,1,102,1,1,1,1,12,2
5470,2,102,1,1,1,1,5,2
5470,3,102,1,1,2,2,1,1
5470,4,102,1,1,1,1,6,1
5596,1,902,1,1,1,1,11,1
5641,1,105,1,1,2,2,11,2
5753,1,905,1,1,1,1,4,1
5754,1,100,1,1,1,1,15,1
5754,2,100,1,1,1,1,14,2
5780,1,104,1,1,1,1,13,1
5790,1,904,1,1,1,1,12,2
5790,2,904,1,1,1,1,11,1
5802,1,102,1,1,2,2,18,2
5837,1,102,1,1,2,2,12,1
5853,1,904,1,1,1,1,9,1
5949,1,903,1,1,1,1,12,1
5971,1,104,1,1,1,1,15,2
5971,2,104,1,1,2,2,16,1
5987,1,906,1,1,1,1,12,1
5987,2,906,1,1,1,1,11,2
6108,1,104,1,1,2,2,5,2
6109,1,903,1,1,2,2,8,2
6109,2,903,1,1,1,1,10,1
6109,3,903,1,1,2,2,2,2
6109,4,903,1,1,2,2,2,1
6316,1,906,1,1,2,2,18,2
6317,1,901,1,1,1,1,10,1
6334,1,105,1,1,1,1,11,2
6334,2,105,1,1,2,2,3,2
6343,1,100,1,1,2,2,17,2
6355,1,905,1,1,1,1,8,2
6355,2,905,1,1,1,1,9,1
6355,3,905,1,1,2,2,4,2
6355,4,905,1,1,2,2,3,2
6411,1,102,1,1,1,1,13,1
6411,2,102,1,1,2,2,12,2
6411,3,102,1,1,2,2,4,2
6470,1,103,1,1,1,1,9,2
6488,1,103,1,1,1,1,8,1
6502,1,100,1,1,2,2,5,1
6585,1,902,1,1,1,1,13,1
6585,2,902,1,1,2,2,13,2
6585,3,902,1,1,1,1,7,2
6594,1,906,1,1,1,1,15,1
6605,1,104,1,1,2,2,14,2
6698,1,900,1,1,2,2,15,2
6698,2,900,1,1,2,2,15,1
6711,1,105,1,1,1,1,13,1
6711,2,105,1,1,1,1,13,2
6752,1,906,1,1,2,2,18,1
6876,1,901,1,1,2,2,15,2
6909,1,101,1,1,2,2,14,1
6909,2,101,1,1,2,2,13,2
6912,1,105,1,1,1,1,8,1
6912,2,105,1,1,2,2,8,2
6912,3,105,1,1,2,2,2,2
6912,4,105,1,1,2,2,1,1
6923,1,104,1,1,1,1,9,1
6923,2,104,1,1,2,2,8,2
6937,1,105,1,1,1,1,6,1
6984,1,103,1,1,1,1,7,2
6984,2,103,1,1,1,1,7,1
6994,1,101,1,1,2,2,4,2
6996,1,906,1,1,2,2,3,1
7016,1,905,1,1,2,2,11,1
7024,1,105,1,1,2,2,10,2
7024,2,105,1,1,1,1,4,1
7024,3,105,1,1,2,2,3,1
7024,4,105,1,1,2,2,3,2
7044,1,903,1,1,1,1,9,1
7044,2,903,1,1,1,1,9,2
7044,3,903,1,1,2,2,3,2
7044,4,903,1,1,2,2,2,1
7081,1,100,1,1,2,2,12,2
7093,1,904,1,1,1,1,12,1
7093,2,904,1,1,1,1,12,2
7106,1,901,1,1,1,1,14,2
7111,1,105,1,1,1,1,11,2
7111,2,105,1,1,1,1,10,1
7171,1,905,1,1,2,2,5,1
7260,1,105,1,1,1,1,16,2
7311,1,102,1,1,2,2,15,2
7311,2,102,1,1,2,2,15,1
7349,1,905,1,1,2,2,5,1
7392,1,904,1,1,1,1,13,2
7392,2,904,1,1,1,1,13,1
7404,1,903,1,1,2,2,15,1
7529,1,904,1,1,1,1,5,2
7546,1,902,1,1,1,1,14,1
7546,2,902,1,1,2,2,12,2
7575,1,104,1,1,2,2,18,2
7575,2,104,1,1,1,1,9,2
